LOCAL_DATE,LOCAL_YEAR,FRE_PROVINCE_NAME,LATITUDE,DAYS_WITH_VALID_MEAN_TEMP,MAX_TEMPERATURE,SNOW_ON_GROUND_LAST_DAY,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,LONGITUDE,DAYS_WITH_VALID_MIN_TEMP,DAYS_WITH_VALID_SNOWFALL,HEATING_DEGREE_DAYS,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,NORMAL_SNOWFALL,DAYS_WITH_VALID_MAX_TEMP,BRIGHT_SUNSHINE,ENG_PROVINCE_NAME,ID,LAST_UPDATED,TOTAL_SNOWFALL,NORMAL_PRECIPITATION,DAYS_WITH_VALID_SUNSHINE,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,PROVINCE_CODE,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,TOTAL_PRECIPITATION
2016-03,2016,NOUVELLE-ÉCOSSE,44.881,31,17.1,,-1.0032258064516129,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,589.1,3,,,31,,NOVA SCOTIA,50620.2016.3,2023-09-21 09:49:29,47.2,,0,31,13,NS,8202251,-12.6,145.2
2016-02,2016,NOUVELLE-ÉCOSSE,44.881,29,13.6,,-2.06551724137931,0,HALIFAX STANFIELD INT'L A,,-63.509,29,29,581.9,2,,,29,,NOVA SCOTIA,50620.2016.2,2023-09-21 09:56:34,36.8,,0,29,12,NS,8202251,-17.1,147.3
2015-12,2015,NOUVELLE-ÉCOSSE,44.881,31,12.8,21.0,1.5129032258064516,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,511.1,12,,,31,,NOVA SCOTIA,50620.2015.12,2023-09-21 09:58:03,57.5,,0,31,14,NS,8202251,-14.9,156.9
2016-01,2016,NOUVELLE-ÉCOSSE,44.881,31,9.5,28.0,-4.332258064516129,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,692.3,1,,,31,,NOVA SCOTIA,50620.2016.1,2024-03-18 09:45:57,96.7,,0,31,8,NS,8202251,-14.2,149.1
2015-11,2015,NOUVELLE-ÉCOSSE,44.881,30,16.0,,4.6466666666666665,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,400.6,11,,,30,,NOVA SCOTIA,50620.2015.11,2023-07-19 11:05:25,0.4,,0,28,9,NS,8202251,-7.5,126.5
2017-02,2017,NOUVELLE-ÉCOSSE,44.881,27,12.3,,-3.422222222222222,0,HALIFAX STANFIELD INT'L A,,-63.509,27,28,578.4,2,,,28,,NOVA SCOTIA,50620.2017.2,2023-09-21 09:49:29,131.6,,0,28,12,NS,8202251,-17.1,156.0
2016-11,2016,NOUVELLE-ÉCOSSE,44.881,30,14.3,7.0,4.806666666666667,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,395.8,11,,,30,,NOVA SCOTIA,50620.2016.11,2023-09-21 09:59:17,27.0,,0,30,13,NS,8202251,-2.5,130.5
2017-01,2017,NOUVELLE-ÉCOSSE,44.881,30,10.0,0.0,-2.9766666666666666,0,HALIFAX STANFIELD INT'L A,,-63.509,30,31,629.3,1,,,31,,NOVA SCOTIA,50620.2017.1,2023-09-21 09:59:17,49.6,,0,31,12,NS,8202251,-17.2,163.4
2017-03,2017,NOUVELLE-ÉCOSSE,44.881,30,9.7,14.0,-3.4633333333333334,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,643.9,3,,,30,,NOVA SCOTIA,50620.2017.3,2024-03-18 09:46:31,99.0,,0,31,18,NS,8202251,-19.6,129.5
2016-12,2016,NOUVELLE-ÉCOSSE,44.881,31,11.3,,-2.893548387096774,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,647.7,12,,,31,,NOVA SCOTIA,50620.2016.12,2024-03-18 09:45:49,89.2,,0,31,15,NS,8202251,-17.1,183.5
2017-12,2017,NOUVELLE-ÉCOSSE,44.881,31,11.8,1.0,-2.567741935483871,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,637.6,12,,,31,,NOVA SCOTIA,50620.2017.12,2023-09-21 09:52:30,13.0,,0,31,15,NS,8202251,-16.8,180.0
2018-01,2018,NOUVELLE-ÉCOSSE,44.881,31,15.4,15.0,-4.487096774193549,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,697.1,1,,,31,,NOVA SCOTIA,50620.2018.1,2023-09-21 09:52:30,66.7,,0,31,13,NS,8202251,-17.0,154.6
2017-11,2017,NOUVELLE-ÉCOSSE,44.881,29,17.9,,4.1482758620689655,0,HALIFAX STANFIELD INT'L A,,-63.509,29,30,401.7,11,,,29,,NOVA SCOTIA,50620.2017.11,2023-09-21 09:55:04,3.2,,0,30,11,NS,8202251,-7.1,144.5
2018-03,2018,NOUVELLE-ÉCOSSE,44.881,30,10.4,0.0,0.11666666666666667,0,HALIFAX STANFIELD INT'L A,,-63.509,31,30,536.5,3,,,30,,NOVA SCOTIA,50620.2018.3,2023-09-21 09:56:34,75.5,,0,28,12,NS,8202251,-11.0,120.4
2018-02,2018,NOUVELLE-ÉCOSSE,44.881,26,11.2,,-1.1730769230769231,0,HALIFAX STANFIELD INT'L A,,-63.509,27,28,498.5,2,,,27,,NOVA SCOTIA,50620.2018.2,2023-09-21 09:58:03,25.2,,0,28,15,NS,8202251,-16.2,159.7
2018-11,2018,NOUVELLE-ÉCOSSE,44.881,29,18.5,9.0,2.4482758620689653,0,HALIFAX STANFIELD INT'L A,,-63.509,29,30,451.0,11,,,29,,NOVA SCOTIA,50620.2018.11,2023-09-21 09:50:56,46.9,,0,30,16,NS,8202251,-12.5,197.9
2019-02,2019,NOUVELLE-ÉCOSSE,44.881,28,8.7,6.0,-6.05,0,HALIFAX STANFIELD INT'L A,,-63.509,28,28,673.4,2,,,28,,NOVA SCOTIA,50620.2019.2,2023-09-21 09:50:56,45.5,,0,28,9,NS,8202251,-16.4,87.2
2019-01,2019,NOUVELLE-ÉCOSSE,44.881,31,12.1,6.0,-4.516129032258065,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,698.0,1,,,31,,NOVA SCOTIA,50620.2019.1,2023-09-21 09:55:04,45.0,,0,31,7,NS,8202251,-16.2,139.8
2018-12,2018,NOUVELLE-ÉCOSSE,44.881,30,13.6,1.0,-3.6066666666666665,0,HALIFAX STANFIELD INT'L A,,-63.509,30,31,648.2,12,,,30,,NOVA SCOTIA,50620.2018.12,2023-09-21 09:59:17,29.4,,0,31,9,NS,8202251,-14.0,89.9
2019-03,2019,NOUVELLE-ÉCOSSE,44.881,31,13.6,,-1.3,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,598.3,3,,,31,,NOVA SCOTIA,50620.2019.3,2023-09-21 09:59:17,45.6,,0,31,11,NS,8202251,-15.7,115.7
2020-03,2020,NOUVELLE-ÉCOSSE,44.881,29,10.7,5.0,-0.5586206896551724,0,HALIFAX STANFIELD INT'L A,,-63.509,29,31,538.2,3,,,29,,NOVA SCOTIA,50620.2020.3,2023-09-21 09:52:30,49.7,,0,31,9,NS,8202251,-10.4,99.6
2020-01,2020,NOUVELLE-ÉCOSSE,44.881,31,9.8,2.0,-4.067741935483871,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,684.1,1,,,31,,NOVA SCOTIA,50620.2020.1,2023-09-21 09:55:04,77.7,,0,31,11,NS,8202251,-17.8,105.4
2020-02,2020,NOUVELLE-ÉCOSSE,44.881,28,9.3,4.0,-3.4357142857142855,0,HALIFAX STANFIELD INT'L A,,-63.509,28,29,600.2,2,,,28,,NOVA SCOTIA,50620.2020.2,2023-09-21 09:56:34,71.1,,0,29,14,NS,8202251,-20.3,130.8
2019-11,2019,NOUVELLE-ÉCOSSE,44.881,28,19.1,19.0,2.942857142857143,0,HALIFAX STANFIELD INT'L A,,-63.509,29,30,421.6,11,,,28,,NOVA SCOTIA,50620.2019.11,2023-09-21 09:58:03,31.0,,0,30,16,NS,8202251,-8.3,215.1
2019-12,2019,NOUVELLE-ÉCOSSE,44.881,31,14.3,1.0,-1.7516129032258065,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,612.3,12,,,31,,NOVA SCOTIA,50620.2019.12,2023-09-21 09:58:03,32.7,,0,31,14,NS,8202251,-11.7,138.1
2020-12,2020,NOUVELLE-ÉCOSSE,44.881,26,15.3,,2.026923076923077,0,HALIFAX STANFIELD INT'L A,,-63.509,26,23,415.3,12,,,26,,NOVA SCOTIA,50620.2020.12,2023-09-21 09:55:04,36.4,,0,31,15,NS,8202251,-11.1,140.0
2020-11,2020,NOUVELLE-ÉCOSSE,44.881,29,20.9,,5.479310344827586,0,HALIFAX STANFIELD INT'L A,,-63.509,29,23,363.1,11,,,29,,NOVA SCOTIA,50620.2020.11,2023-09-21 09:59:17,11.8,,0,30,10,NS,8202251,-8.0,125.6
2021-01,2021,NOUVELLE-ÉCOSSE,44.881,30,5.4,6.0,-2.9166666666666665,0,HALIFAX STANFIELD INT'L A,,-63.509,30,31,627.5,1,,,30,,NOVA SCOTIA,50620.2021.1,2021-02-01 11:32:14,34.9,,0,31,8,NS,8202251,-12.1,96.1
2021-03,2021,NOUVELLE-ÉCOSSE,44.881,23,17.8,,-0.06956521739130435,0,HALIFAX STANFIELD INT'L A,,-63.509,23,31,415.6,3,,,23,,NOVA SCOTIA,50620.2021.3,2021-04-01 11:33:20,34.4,,0,31,8,NS,8202251,-14.3,111.0
2021-02,2021,NOUVELLE-ÉCOSSE,44.881,24,7.7,9.0,-4.208333333333333,0,HALIFAX STANFIELD INT'L A,,-63.509,24,28,533.0,2,,,24,,NOVA SCOTIA,50620.2021.2,2021-03-01 11:32:30,93.9,,0,28,14,NS,8202251,-13.8,178.9
2021-11,2021,NOUVELLE-ÉCOSSE,44.881,30,16.5,0.0,4.566666666666666,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,403.0,11,,,30,,NOVA SCOTIA,50620.2021.11,2022-07-19 09:49:23,1.7,,0,30,13,NS,8202251,-3.8,186.6
2021-12,2021,NOUVELLE-ÉCOSSE,44.881,30,16.1,5.0,-0.6966666666666667,0,HALIFAX STANFIELD INT'L A,,-63.509,30,31,560.9,12,,,30,,NOVA SCOTIA,50620.2021.12,2022-07-19 09:49:23,35.3,,0,31,15,NS,8202251,-12.2,161.4
2022-01,2022,NOUVELLE-ÉCOSSE,44.881,31,10.5,23.0,-5.438709677419355,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,726.6,1,,,31,,NOVA SCOTIA,50620.2022.1,2023-03-17 11:36:32,48.4,,0,31,16,NS,8202251,-19.9,161.0
2022-03,2022,NOUVELLE-ÉCOSSE,44.881,31,16.2,,0.3548387096774194,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,547.0,3,,,31,,NOVA SCOTIA,50620.2022.3,2022-04-06 09:48:40,34.0,,0,31,15,NS,8202251,-17.7,134.6
2022-02,2022,NOUVELLE-ÉCOSSE,44.881,28,11.9,12.0,-3.967857142857143,0,HALIFAX STANFIELD INT'L A,,-63.509,28,27,615.1,2,,,28,,NOVA SCOTIA,50620.2022.2,2022-03-04 10:31:57,14.6,,0,27,11,NS,8202251,-17.8,170.7
2023-02,2023,NOUVELLE-ÉCOSSE,44.881,28,11.8,7.0,-5.760714285714286,0,HALIFAX STANFIELD INT'L A,,-63.509,28,28,665.3,2,,,28,,NOVA SCOTIA,50620.2023.2,2023-03-01 11:34:05,25.6,,0,28,7,NS,8202251,-26.0,68.1
2022-12,2022,NOUVELLE-ÉCOSSE,44.881,31,13.7,,0.6870967741935484,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,536.7,12,,,31,,NOVA SCOTIA,50620.2022.12,2023-01-01 11:36:07,1.4,,0,31,11,NS,8202251,-9.2,166.7
2023-01,2023,NOUVELLE-ÉCOSSE,44.881,31,12.8,0.0,-0.5258064516129032,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,574.3,1,,,31,,NOVA SCOTIA,50620.2023.1,2023-02-09 10:35:20,35.4,,0,31,17,NS,8202251,-11.3,209.6
2022-11,2022,NOUVELLE-ÉCOSSE,44.881,30,21.5,,5.413333333333333,0,HALIFAX STANFIELD INT'L A,,-63.509,30,30,377.6,11,,,30,,NOVA SCOTIA,50620.2022.11,2022-12-01 11:34:29,0.0,,0,30,9,NS,8202251,-8.1,98.5
2023-03,2023,NOUVELLE-ÉCOSSE,44.881,31,9.2,5.0,-0.6741935483870968,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,578.9,3,,,31,,NOVA SCOTIA,50620.2023.3,2023-04-01 11:39:36,41.9,,0,31,12,NS,8202251,-11.7,60.2
2024-01,2024,NOUVELLE-ÉCOSSE,44.881,31,10.1,18.0,-3.9870967741935486,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,681.6,1,,,31,,NOVA SCOTIA,50620.2024.1,2024-02-01 11:33:23,47.6,,0,31,11,NS,8202251,-14.0,138.3
2023-12,2023,NOUVELLE-ÉCOSSE,44.881,31,15.3,4.0,0.5129032258064516,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,542.1,12,,,31,,NOVA SCOTIA,50620.2023.12,2024-01-01 11:30:48,38.0,,0,31,13,NS,8202251,-9.7,138.7
2023-11,2023,NOUVELLE-ÉCOSSE,44.881,29,14.6,0.0,2.093103448275862,0,HALIFAX STANFIELD INT'L A,,-63.509,29,30,461.3,11,,,29,,NOVA SCOTIA,50620.2023.11,2023-12-01 11:30:46,12.0,,0,30,9,NS,8202251,-8.5,142.1
2024-02,2024,NOUVELLE-ÉCOSSE,44.881,29,11.1,3.0,-3.0517241379310347,0,HALIFAX STANFIELD INT'L A,,-63.509,29,29,610.5,2,,,29,,NOVA SCOTIA,50620.2024.2,2024-03-01 11:31:16,133.6,,0,29,14,NS,8202251,-15.9,210.5
2024-03,2024,NOUVELLE-ÉCOSSE,44.881,31,14.4,,1.9322580645161291,0,HALIFAX STANFIELD INT'L A,,-63.509,31,31,498.1,3,,,31,,NOVA SCOTIA,50620.2024.3,2024-04-01 11:31:06,7.4,,0,31,15,NS,8202251,-13.9,234.2
