id,LOCAL_MONTH,MIN_REL_HUMIDITY,LOCAL_DATE,ID,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DAY,PROVINCE_CODE,TOTAL_RAIN_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,STATION_NAME,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE_FLAG,LOCAL_YEAR,SPEED_MAX_GUST,SNOW_ON_GROUND
8202251.2014.11.12,11,,2014-11-12 00:00:00,8202251.2014.11.12,8202251,,,,,12,NS,,,,HALIFAX STANFIELD INT'L A,9.6,14.0,8.4,1.0,,0.0,,,1.0,0.0,,,,11.1,5.7,,2014,35.0,
8202251.2014.11.2,11,,2014-11-02 00:00:00,8202251.2014.11.2,8202251,,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,6.5,18.0,11.5,25.9,,0.0,,,25.9,0.0,,,,17.3,5.6,,2014,78.0,
8202251.2014.11.17,11,,2014-11-17 00:00:00,8202251.2014.11.17,8202251,,,,,17,NS,,,,HALIFAX STANFIELD INT'L A,9.4,23.0,8.6,27.6,,0.0,,,27.6,0.0,,T,,15.8,1.4,,2014,76.0,0.0
8202251.2014.11.22,11,,2014-11-22 00:00:00,8202251.2014.11.22,8202251,,,,,22,NS,,,T,HALIFAX STANFIELD INT'L A,19.1,23.0,-1.1,0.0,,0.0,,,0.0,0.0,,T,,4.0,-6.2,,2014,59.0,
8202251.2014.11.23,11,,2014-11-23 00:00:00,8202251.2014.11.23,8202251,,,,,23,NS,T,,T,HALIFAX STANFIELD INT'L A,13.8,31.0,4.2,0.0,,0.0,,,0.0,0.0,,,,7.4,1.0,,2014,44.0,
8202251.2014.11.4,11,,2014-11-04 00:00:00,8202251.2014.11.4,8202251,,,,,4,NS,,,,HALIFAX STANFIELD INT'L A,14.2,32.0,3.8,0.0,,0.0,,,0.0,0.0,,,,7.1,0.4,,2014,46.0,
8202251.2014.11.7,11,,2014-11-07 00:00:00,8202251.2014.11.7,8202251,,,,,7,NS,,,,HALIFAX STANFIELD INT'L A,10.2,31.0,7.8,32.1,,0.0,,,32.1,0.0,,,,14.3,1.3,,2014,57.0,
8202251.2014.11.1,11,,2014-11-01 00:00:00,8202251.2014.11.1,8202251,,,,,1,NS,,,,HALIFAX STANFIELD INT'L A,13.1,2.0,4.9,8.6,,0.0,,,8.6,0.0,,,,6.2,3.5,,2014,46.0,
8202251.2014.11.18,11,,2014-11-18 00:00:00,8202251.2014.11.18,8202251,,,,,18,NS,,,,HALIFAX STANFIELD INT'L A,10.7,21.0,7.3,31.0,,0.4,,,31.4,0.0,,,,16.8,-2.2,,2014,89.0,0.0
8202251.2014.11.10,11,,2014-11-10 00:00:00,8202251.2014.11.10,8202251,,,,,10,NS,,,,HALIFAX STANFIELD INT'L A,11.2,0.0,6.8,0.0,,0.0,,,0.0,0.0,,,,11.3,2.2,,2014,0.0,
8202251.2015.11.4,11,,2015-11-04 00:00:00,8202251.2015.11.4,8202251,,,,,4,NS,T,,T,HALIFAX STANFIELD INT'L A,13.9,31.0,4.1,0.0,,0.0,,,0.0,0.0,,,,7.2,0.9,,2015,32.0,
8202251.2015.11.11,11,,2015-11-11 00:00:00,8202251.2015.11.11,8202251,,,,,11,NS,M,,M,HALIFAX STANFIELD INT'L A,12.9,9.0,5.1,,,0.0,,,,0.0,,,,7.0,3.1,,2015,43.0,
8202251.2015.11.7,11,,2015-11-07 00:00:00,8202251.2015.11.7,8202251,,,,,7,NS,,,,HALIFAX STANFIELD INT'L A,7.7,29.0,10.3,0.0,,0.0,,,0.0,0.0,,,,16.0,4.6,,2015,52.0,
8202251.2015.11.9,11,,2015-11-09 00:00:00,8202251.2015.11.9,8202251,,,,,9,NS,,,,HALIFAX STANFIELD INT'L A,12.3,26.0,5.7,0.0,,0.0,,,0.0,0.0,,,,11.5,-0.2,,2015,46.0,
8202251.2015.11.10,11,,2015-11-10 00:00:00,8202251.2015.11.10,8202251,,,,,10,NS,M,,M,HALIFAX STANFIELD INT'L A,9.9,0.0,8.1,,,0.0,,,,0.0,,,,13.3,2.9,,2015,0.0,
8202251.2015.11.5,11,,2015-11-05 00:00:00,8202251.2015.11.5,8202251,,,,,5,NS,,,,HALIFAX STANFIELD INT'L A,13.2,0.0,4.8,0.0,,0.0,,,0.0,0.0,,,,7.2,2.4,,2015,0.0,
8202251.2015.11.2,11,,2015-11-02 00:00:00,8202251.2015.11.2,8202251,,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,9.3,30.0,8.7,0.4,,0.0,,,0.4,0.0,,,,13.2,4.2,,2015,48.0,
8202251.2015.11.1,11,,2015-11-01 00:00:00,8202251.2015.11.1,8202251,,,,,1,NS,,,,HALIFAX STANFIELD INT'L A,11.0,26.0,7.0,5.6,,0.0,,,5.6,0.0,,,,11.6,2.3,,2015,41.0,
8202251.2015.11.8,11,,2015-11-08 00:00:00,8202251.2015.11.8,8202251,,,,,8,NS,T,,T,HALIFAX STANFIELD INT'L A,15.2,31.0,2.8,0.0,,0.0,,,0.0,0.0,,,,5.3,0.3,,2015,69.0,
8202251.2015.11.3,11,,2015-11-03 00:00:00,8202251.2015.11.3,8202251,,,,,3,NS,,,,HALIFAX STANFIELD INT'L A,13.4,0.0,4.6,0.2,,0.0,,,0.2,0.0,,,,6.3,2.9,,2015,0.0,
8202251.2016.11.11,11,,2016-11-11 00:00:00,8202251.2016.11.11,8202251,,,,,11,NS,,,,HALIFAX STANFIELD INT'L A,10.4,21.0,7.6,1.1,,0.0,,,1.1,0.0,,,,12.7,2.4,,2016,56.0,
8202251.2016.11.26,11,,2016-11-26 00:00:00,8202251.2016.11.26,8202251,,,,,26,NS,,,T,HALIFAX STANFIELD INT'L A,16.2,8.0,1.8,0.0,,0.0,,,0.0,0.0,,T,,5.2,-1.6,,2016,32.0,
8202251.2016.11.24,11,,2016-11-24 00:00:00,8202251.2016.11.24,8202251,,,,,24,NS,,,T,HALIFAX STANFIELD INT'L A,16.2,1.0,1.8,0.0,,0.0,,,0.0,0.0,,T,,3.8,-0.3,,2016,39.0,
8202251.2016.11.19,11,,2016-11-19 00:00:00,8202251.2016.11.19,8202251,,,,,19,NS,,,,HALIFAX STANFIELD INT'L A,10.4,36.0,7.6,19.8,,0.0,,,19.8,0.0,,,,8.9,6.2,,2016,44.0,
8202251.2016.11.9,11,,2016-11-09 00:00:00,8202251.2016.11.9,8202251,,,,,9,NS,T,,T,HALIFAX STANFIELD INT'L A,10.8,33.0,7.2,0.0,,0.0,,,0.0,0.0,,,,14.3,0.0,,2016,39.0,
8202251.2016.11.23,11,,2016-11-23 00:00:00,8202251.2016.11.23,8202251,,,,,23,NS,,,,HALIFAX STANFIELD INT'L A,15.3,32.0,2.7,0.2,,0.0,,,0.2,0.0,,,,4.8,0.6,,2016,44.0,
8202251.2016.11.17,11,,2016-11-17 00:00:00,8202251.2016.11.17,8202251,,,,,17,NS,,,,HALIFAX STANFIELD INT'L A,8.0,2.0,10.0,0.2,,0.0,,,0.2,0.0,,,,11.4,8.6,,2016,33.0,
8202251.2016.11.2,11,,2016-11-02 00:00:00,8202251.2016.11.2,8202251,,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,10.8,32.0,7.2,0.2,,0.0,,,0.2,0.0,,,,10.0,4.4,,2016,37.0,
8202251.2016.11.30,11,,2016-11-30 00:00:00,8202251.2016.11.30,8202251,,,,,30,NS,,,,HALIFAX STANFIELD INT'L A,16.8,5.0,1.2,20.2,,0.0,,,20.2,0.0,,,,2.3,0.1,,2016,52.0,7.0
8202251.2016.11.7,11,,2016-11-07 00:00:00,8202251.2016.11.7,8202251,,,,,7,NS,,,,HALIFAX STANFIELD INT'L A,15.8,1.0,2.2,0.0,,0.0,,,0.0,0.0,,,,6.7,-2.4,,2016,32.0,
8202251.2017.11.11,11,,2017-11-11 00:00:00,8202251.2017.11.11,8202251,,,,,11,NS,,,,HALIFAX STANFIELD INT'L A,19.7,30.0,-1.7,0.0,,0.0,,,0.0,0.0,,,,2.0,-5.3,,2017,56.0,
8202251.2017.11.14,11,,2017-11-14 00:00:00,8202251.2017.11.14,8202251,,,,,14,NS,,,,HALIFAX STANFIELD INT'L A,16.3,1.0,1.7,0.0,,1.4,,,1.4,0.0,,,,3.7,-0.3,,2017,52.0,1.0
8202251.2017.11.15,11,,2017-11-15 00:00:00,8202251.2017.11.15,8202251,,,,,15,NS,T,,T,HALIFAX STANFIELD INT'L A,15.5,2.0,2.5,0.0,,0.0,,,0.0,0.0,,,,6.6,-1.6,,2017,35.0,
8202251.2017.11.3,11,,2017-11-03 00:00:00,8202251.2017.11.3,8202251,,,,,3,NS,,,,HALIFAX STANFIELD INT'L A,4.4,31.0,13.6,2.3,,0.0,,,2.3,0.0,,,,17.9,9.2,,2017,57.0,
8202251.2017.11.6,11,,2017-11-06 00:00:00,8202251.2017.11.6,8202251,,,,,6,NS,,,,HALIFAX STANFIELD INT'L A,4.5,35.0,13.5,7.4,,0.0,,,7.4,0.0,,,,17.7,9.3,,2017,69.0,
8202251.2017.11.2,11,,2017-11-02 00:00:00,8202251.2017.11.2,8202251,,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,9.3,14.0,8.7,0.0,,0.0,,,0.0,0.0,,,,14.5,2.9,,2017,43.0,
8202251.2017.11.22,11,,2017-11-22 00:00:00,8202251.2017.11.22,8202251,,,,,22,NS,,,,HALIFAX STANFIELD INT'L A,5.8,14.0,12.2,26.0,,0.0,,,26.0,0.0,,,,16.0,8.3,,2017,72.0,
8202251.2017.11.21,11,,2017-11-21 00:00:00,8202251.2017.11.21,8202251,,,,,21,NS,,,T,HALIFAX STANFIELD INT'L A,16.2,28.0,1.8,0.0,,0.0,,,0.0,0.0,,T,,9.1,-5.5,,2017,52.0,
8202251.2017.11.23,11,,2017-11-23 00:00:00,8202251.2017.11.23,8202251,,,,,23,NS,,,,HALIFAX STANFIELD INT'L A,11.9,28.0,6.1,7.4,,0.0,,,7.4,0.0,,,,14.0,-1.8,,2017,76.0,
8202251.2017.11.20,11,,2017-11-20 00:00:00,8202251.2017.11.20,8202251,,,,T,20,NS,,,T,HALIFAX STANFIELD INT'L A,17.4,26.0,0.6,0.0,,0.0,,,0.0,0.0,,T,,5.4,-4.2,,2017,57.0,0.0
8202251.2018.11.2,11,99.0,2018-11-02 00:00:00,8202251.2018.11.2,8202251,100.0,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,6.7,20.0,11.3,31.0,,0.0,,,31.0,0.0,,,,15.1,7.4,,2018,45.0,
8202251.2018.11.8,11,52.0,2018-11-08 00:00:00,8202251.2018.11.8,8202251,84.0,,,,8,NS,,,,HALIFAX STANFIELD INT'L A,10.7,29.0,7.3,0.0,,0.0,,,0.0,0.0,,,,11.0,3.5,,2018,55.0,
8202251.2018.11.10,11,69.0,2018-11-10 00:00:00,8202251.2018.11.10,8202251,100.0,,,,10,NS,,,,HALIFAX STANFIELD INT'L A,11.2,9.0,6.8,15.4,,0.0,,,15.4,0.0,,,,12.2,1.3,,2018,76.0,0.0
8202251.2018.11.19,11,74.0,2018-11-19 00:00:00,8202251.2018.11.19,8202251,100.0,M,,E,19,NS,,,,HALIFAX STANFIELD INT'L A,20.6,,-2.6,3.6,,2.2,,M,5.8,0.0,,,,0.8,-5.9,,2018,,4.0
8202251.2018.11.1,11,97.0,2018-11-01 00:00:00,8202251.2018.11.1,8202251,100.0,M,,,1,NS,,,,HALIFAX STANFIELD INT'L A,10.3,,7.7,1.8,,0.0,,M,1.8,0.0,,,,11.1,4.2,,2018,,
8202251.2018.11.5,11,64.0,2018-11-05 00:00:00,8202251.2018.11.5,8202251,96.0,M,,,5,NS,,,,HALIFAX STANFIELD INT'L A,14.9,,3.1,0.0,,0.0,,M,0.0,0.0,,,,6.7,-0.5,,2018,,
8202251.2018.11.14,11,47.0,2018-11-14 00:00:00,8202251.2018.11.14,8202251,88.0,,,T,14,NS,,,,HALIFAX STANFIELD INT'L A,16.8,30.0,1.2,0.8,,0.6,,,1.2,0.0,,,,10.0,-7.6,,2018,93.0,0.0
8202251.2018.11.20,11,100.0,2018-11-20 00:00:00,8202251.2018.11.20,8202251,100.0,M,,,20,NS,,,,HALIFAX STANFIELD INT'L A,17.2,7.0,0.8,1.8,,0.0,,,1.8,0.0,,,,1.6,0.0,,2018,,4.0
8202251.2018.11.21,11,75.0,2018-11-21 00:00:00,8202251.2018.11.21,8202251,100.0,,,,21,NS,,,,HALIFAX STANFIELD INT'L A,18.1,27.0,-0.1,1.8,,3.2,,,5.0,0.0,,,,2.6,-2.7,,2018,50.0,1.0
8202251.2018.11.15,11,,2018-11-15 00:00:00,8202251.2018.11.15,8202251,,,M,,15,NS,,M,,HALIFAX STANFIELD INT'L A,,32.0,,0.0,M,0.0,M,,0.0,,M,,M,,,M,2018,63.0,
8202251.2019.11.14,11,41.0,2019-11-14 00:00:00,8202251.2019.11.14,8202251,81.0,M,,,14,NS,,,,HALIFAX STANFIELD INT'L A,21.9,,-3.9,0.0,,0.0,,M,0.0,0.0,,,,0.0,-7.7,,2019,,
8202251.2019.11.9,11,65.0,2019-11-09 00:00:00,8202251.2019.11.9,8202251,83.0,,,,9,NS,,,T,HALIFAX STANFIELD INT'L A,20.6,32.0,-2.6,0.0,,0.0,,,0.0,0.0,,T,,-0.2,-5.0,,2019,41.0,6.0
8202251.2019.11.10,11,56.0,2019-11-10 00:00:00,8202251.2019.11.10,8202251,84.0,,,,10,NS,,,,HALIFAX STANFIELD INT'L A,15.6,19.0,2.4,0.4,,0.0,,,0.4,0.0,,,,7.7,-3.0,,2019,45.0,3.0
8202251.2019.11.20,11,94.0,2019-11-20 00:00:00,8202251.2019.11.20,8202251,100.0,,,,20,NS,,,,HALIFAX STANFIELD INT'L A,16.3,5.0,1.7,1.0,,0.0,,,1.0,0.0,,,,2.9,0.5,,2019,45.0,
8202251.2019.11.16,11,50.0,2019-11-16 00:00:00,8202251.2019.11.16,8202251,78.0,,,,16,NS,T,,T,HALIFAX STANFIELD INT'L A,19.2,31.0,-1.2,0.0,,0.0,,,0.0,0.0,,,,4.4,-6.8,,2019,63.0,
8202251.2019.11.7,11,60.0,2019-11-07 00:00:00,8202251.2019.11.7,8202251,100.0,,,,7,NS,,,,HALIFAX STANFIELD INT'L A,14.6,20.0,3.4,4.2,,0.0,,,4.2,0.0,,,,9.2,-2.4,,2019,46.0,
8202251.2019.11.18,11,87.0,2019-11-18 00:00:00,8202251.2019.11.18,8202251,100.0,,,,18,NS,,,,HALIFAX STANFIELD INT'L A,17.4,7.0,0.6,9.0,,0.0,,,9.0,0.0,,,,4.5,-3.3,,2019,50.0,
8202251.2019.11.3,11,57.0,2019-11-03 00:00:00,8202251.2019.11.3,8202251,100.0,,,,3,NS,,,,HALIFAX STANFIELD INT'L A,12.0,24.0,6.0,0.0,,0.0,,,0.0,0.0,,,,11.2,0.8,,2019,39.0,
8202251.2019.11.1,11,61.0,2019-11-01 00:00:00,8202251.2019.11.1,8202251,100.0,,,,1,NS,,,,HALIFAX STANFIELD INT'L A,5.8,20.0,12.2,1.6,,0.0,,,1.6,0.0,,,,19.1,5.3,,2019,102.0,
8202251.2019.11.8,11,86.0,2019-11-08 00:00:00,8202251.2019.11.8,8202251,100.0,,M,E,8,NS,,,,HALIFAX STANFIELD INT'L A,,32.0,,16.8,M,5.8,,,21.8,,M,,,,-2.9,M,2019,46.0,2.0
8202251.2020.11.25,11,70.0,2020-11-25 00:00:00,8202251.2020.11.25,8202251,95.0,,,,25,NS,M,,,HALIFAX STANFIELD INT'L A,19.9,31.0,-1.9,,,,,,0.4,0.0,,M,,4.3,-8.0,,2020,32.0,
8202251.2020.11.3,11,64.0,2020-11-03 00:00:00,8202251.2020.11.3,8202251,100.0,,,E,3,NS,,,,HALIFAX STANFIELD INT'L A,19.5,27.0,-1.5,0.0,,11.8,,,10.2,0.0,,,,1.5,-4.5,,2020,48.0,12.0
8202251.2020.11.18,11,44.0,2020-11-18 00:00:00,8202251.2020.11.18,8202251,81.0,,,,18,NS,,,,HALIFAX STANFIELD INT'L A,20.3,31.0,-2.3,0.0,,0.0,,,0.0,0.0,,,,0.1,-4.6,,2020,45.0,
8202251.2020.11.15,11,50.0,2020-11-15 00:00:00,8202251.2020.11.15,8202251,95.0,,,,15,NS,,,,HALIFAX STANFIELD INT'L A,16.6,32.0,1.4,0.0,,0.0,,,0.0,0.0,,,,4.0,-1.3,,2020,46.0,
8202251.2020.11.20,11,76.0,2020-11-20 00:00:00,8202251.2020.11.20,8202251,100.0,,,,20,NS,T,,T,HALIFAX STANFIELD INT'L A,9.9,23.0,8.1,0.0,,0.0,,,0.0,0.0,,,,10.6,5.5,,2020,42.0,
8202251.2020.11.11,11,81.0,2020-11-11 00:00:00,8202251.2020.11.11,8202251,100.0,,,,11,NS,,,,HALIFAX STANFIELD INT'L A,4.4,22.0,13.6,0.0,,0.0,,,0.0,0.0,,,,17.7,9.5,,2020,48.0,
8202251.2020.11.23,11,84.0,2020-11-23 00:00:00,8202251.2020.11.23,8202251,100.0,,,,23,NS,,,,HALIFAX STANFIELD INT'L A,10.8,17.0,7.2,21.4,,0.0,,,21.4,0.0,,,,15.2,-0.8,,2020,76.0,
8202251.2020.11.16,11,80.0,2020-11-16 00:00:00,8202251.2020.11.16,8202251,100.0,,,,16,NS,,,,HALIFAX STANFIELD INT'L A,10.6,15.0,7.4,23.6,,0.0,,,23.6,0.0,,,,12.0,2.8,,2020,68.0,
8202251.2020.11.24,11,61.0,2020-11-24 00:00:00,8202251.2020.11.24,8202251,99.0,,,,24,NS,M,,,HALIFAX STANFIELD INT'L A,17.4,29.0,0.6,,,,,,0.4,0.0,,M,,7.0,-5.8,,2020,74.0,
8202251.2020.11.14,11,91.0,2020-11-14 00:00:00,8202251.2020.11.14,8202251,100.0,,,,14,NS,,,,HALIFAX STANFIELD INT'L A,14.1,32.0,3.9,1.0,,0.0,,,1.0,0.0,,,,5.4,2.3,,2020,41.0,
8202251.2021.11.4,11,46.0,2021-11-04 00:00:00,8202251.2021.11.4,8202251,95.0,M,,,4,NS,,,,HALIFAX STANFIELD INT'L A,13.9,,4.1,0.0,,0.0,,M,0.0,0.0,,,,7.6,0.5,,2021,,
8202251.2021.11.3,11,81.0,2021-11-03 00:00:00,8202251.2021.11.3,8202251,96.0,M,,T,3,NS,,,,HALIFAX STANFIELD INT'L A,13.0,,5.0,2.2,,0.0,,M,2.2,0.0,,,,7.5,2.5,,2021,,0.0
8202251.2021.11.21,11,68.0,2021-11-21 00:00:00,8202251.2021.11.21,8202251,93.0,,,,21,NS,T,,T,HALIFAX STANFIELD INT'L A,15.9,18.0,2.1,0.0,,0.0,,,0.0,0.0,,,,7.7,-3.6,,2021,35.0,
8202251.2021.11.10,11,75.0,2021-11-10 00:00:00,8202251.2021.11.10,8202251,98.0,,,,10,NS,,,,HALIFAX STANFIELD INT'L A,13.3,33.0,4.7,11.6,,0.0,,,11.6,0.0,,,,8.1,1.2,,2021,44.0,
8202251.2021.11.23,11,94.0,2021-11-23 00:00:00,8202251.2021.11.23,8202251,99.0,,,T,23,NS,,,,HALIFAX STANFIELD INT'L A,12.4,18.0,5.6,30.0,,0.0,,,30.0,0.0,,T,,12.1,-0.9,,2021,53.0,0.0
8202251.2021.11.13,11,89.0,2021-11-13 00:00:00,8202251.2021.11.13,8202251,100.0,,,,13,NS,,,,HALIFAX STANFIELD INT'L A,6.9,18.0,11.1,10.4,,0.0,,,10.4,0.0,,,,14.7,7.5,,2021,68.0,
8202251.2021.11.20,11,54.0,2021-11-20 00:00:00,8202251.2021.11.20,8202251,88.0,,,,20,NS,T,,T,HALIFAX STANFIELD INT'L A,18.2,32.0,-0.2,0.0,,0.0,,,0.0,0.0,,T,,3.3,-3.6,,2021,48.0,
8202251.2021.11.11,11,54.0,2021-11-11 00:00:00,8202251.2021.11.11,8202251,87.0,,,,11,NS,,,,HALIFAX STANFIELD INT'L A,14.7,32.0,3.3,0.0,,0.0,,,0.0,0.0,,,,7.0,-0.4,,2021,52.0,
8202251.2021.11.16,11,59.0,2021-11-16 00:00:00,8202251.2021.11.16,8202251,90.0,,,,16,NS,,,,HALIFAX STANFIELD INT'L A,15.1,30.0,2.9,0.0,,0.0,,,0.0,0.0,,,,5.0,0.7,,2021,66.0,
8202251.2021.11.15,11,85.0,2021-11-15 00:00:00,8202251.2021.11.15,8202251,98.0,,,,15,NS,,,,HALIFAX STANFIELD INT'L A,12.1,23.0,5.9,24.7,,0.0,,,24.7,0.0,,,,9.7,2.0,,2021,54.0,
8202251.2022.11.2,11,33.0,2022-11-02 00:00:00,8202251.2022.11.2,8202251,99.0,,,,2,NS,,,,HALIFAX STANFIELD INT'L A,9.5,34.0,8.5,0.0,,0.0,,,0.0,0.0,,,,14.2,2.7,,2022,51.0,
8202251.2022.11.7,11,51.0,2022-11-07 00:00:00,8202251.2022.11.7,8202251,98.0,,,,7,NS,,,,HALIFAX STANFIELD INT'L A,4.5,34.0,13.5,0.7,,0.0,,,0.7,0.0,,,,18.4,8.6,,2022,49.0,
8202251.2022.11.16,11,66.0,2022-11-16 00:00:00,8202251.2022.11.16,8202251,99.0,,,,16,NS,,,,HALIFAX STANFIELD INT'L A,11.7,19.0,6.3,22.3,,0.0,,,22.3,0.0,,,,14.3,-1.7,,2022,66.0,
8202251.2022.11.19,11,45.0,2022-11-19 00:00:00,8202251.2022.11.19,8202251,97.0,,,T,19,NS,,,,HALIFAX STANFIELD INT'L A,17.0,22.0,1.0,0.8,,0.0,,,0.8,0.0,,T,,5.6,-3.7,,2022,36.0,0.0
8202251.2022.11.9,11,50.0,2022-11-09 00:00:00,8202251.2022.11.9,8202251,76.0,,,,9,NS,,,,HALIFAX STANFIELD INT'L A,14.7,33.0,3.3,0.0,,0.0,,,0.0,0.0,,,,6.1,0.5,,2022,54.0,
8202251.2022.11.10,11,55.0,2022-11-10 00:00:00,8202251.2022.11.10,8202251,84.0,,,,10,NS,T,,T,HALIFAX STANFIELD INT'L A,9.9,22.0,8.1,0.0,,0.0,,,0.0,0.0,,,,15.2,0.9,,2022,53.0,
8202251.2022.11.5,11,68.0,2022-11-05 00:00:00,8202251.2022.11.5,8202251,99.0,,,,5,NS,,,,HALIFAX STANFIELD INT'L A,2.2,23.0,15.8,0.0,,0.0,,,0.0,0.0,,,,20.9,10.6,,2022,45.0,
8202251.2022.11.3,11,26.0,2022-11-03 00:00:00,8202251.2022.11.3,8202251,90.0,,,,3,NS,,,,HALIFAX STANFIELD INT'L A,11.3,33.0,6.7,0.0,,0.0,,,0.0,0.0,,,,12.4,1.0,,2022,34.0,
8202251.2022.11.1,11,83.0,2022-11-01 00:00:00,8202251.2022.11.1,8202251,100.0,,,,1,NS,,,,HALIFAX STANFIELD INT'L A,5.8,20.0,12.2,1.3,,0.0,,,1.3,0.0,,,,15.0,9.4,,2022,35.0,
8202251.2022.11.15,11,59.0,2022-11-15 00:00:00,8202251.2022.11.15,8202251,83.0,,,,15,NS,,,,HALIFAX STANFIELD INT'L A,16.3,29.0,1.7,0.0,,0.0,,,0.0,0.0,,,,4.0,-0.7,,2022,35.0,
